实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-215,65,-218,65,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-218,65,-218,-65,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-218,-65,-215,-65,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-340,27.5,-355,27.5,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-340,-27.5,-355,-27.5,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-225,40,-218,40,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-225,-40,-218,-40,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-218,30,-340,30,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-218,-30,-340,-30,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-225.833,50,-203.739,50,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-225.833,-50,-203.739,-50,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-277,40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-273,-40,-273,40,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-265,40,-265,-40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-269,40,4,,,,,,0,180,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-269,-40,4,,,,,,180,0,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-277,-40,4,,,,,,0,180,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,50,<>,-273.525,-25,-297,-25,-256.306,25,,,,,,,90,32,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,605,62,505,62,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,605,-62,505,-62,,,,,,,,,,,
ARC,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,605,-0,62,,,,,,270,90,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,RADIUS,,62,,700.013,59.3,,,,,605,-0,,,,,31.969,36,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-475,62,-355,62,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-475,-62,-355,-62,,,,,,,,,,,
ARC,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,-475,0,62,,,,,,90,270,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,RADIUS,,62,,-563.634,68.469,,,,,-475,0,,,,,142.314,36,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-261,40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-257,-40,-257,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-253,40,4,,,,,,0,180,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-253,-40,4,,,,,,180,360,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-249,40,-249,-40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-261,-40,4,,,,,,0,180,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-245,40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-241,-40,-241,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-237,40,4,,,,,,0,180,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-237,-40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-233,40,-233,-40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-245,-40,4,,,,,,0,180,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-225,-40,-225,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-229,40,4,,,,,,180,0,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-229,-40,4,,,,,,360,180,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,50,<>,-49.596,-25,-30,-25,-30,25,,,,,,,90,32,,,
MTEXT,粗实线层,7,BYLAYER,-1,,,,,{\T1.1;羿射旭减隔震张家口有限公司},,362.994,-592.086,,,,,,,,,,14.815,0,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,145,-560,865,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,865,-560,865,-760,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,865,-760,145,-760,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,145,-760,145,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,385,-760,385,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,625,-760,625,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,625,-700,145,-700,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,625,-660,145,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,385,-580,145,-580,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,385,-600,145,-600,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,385,-620,145,-620,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,385,-640,145,-640,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,385,-680,145,-680,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,385,-720,145,-720,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,445,-740,445,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,505,-760,505,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,565,-740,565,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,865,-610,625,-610,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,865,-660,625,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,865,-710,625,-710,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,181,-660,181,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,289,-660,289,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,265,-760,265,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,205,-760,205,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,217,-660,217,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,345,-660,345,-560,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,325,-760,325,-660,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,705,-760,705,-560,,,,,,,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;标记},,151.02,-642.178,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;处数},,186.559,-642.178,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;更改文件名},,232.25,-643.713,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;签名},,307.706,-642.178,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;日期},,356.779,-642.178,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;设计},,164.459,-662.486,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;制图},,164.459,-682.794,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;审核},,164.539,-703.401,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;材料},,401,-669.99,,,,,,,,,,14,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;数量},,460.421,-671.065,,,,,,,,,,14,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;重量},,520.748,-671.065,,,,,,,,,,14,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;比例},,581.533,-671.513,,,,,,,,,,14,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;项目名称},,639.014,-575.682,,,,,,,,,,16,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;零件名称},,638.583,-625.155,,,,,,,,,,16,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;产品型号},,638.583,-678.314,,,,,,,,,,16,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;图纸编号},,641.394,-725.441,,,,,,,,,,16,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;日期},,284.019,-663.69,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;日期},,283.62,-683.104,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;日期},,283.023,-703.304,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;日期},,282.724,-743.074,,,,,,,,,,12,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;第         页},,415.953,-746.194,,,,,,,,,,8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;共         页},,538.362,-745.771,,,,,,,,,,8,0,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,145,-740,625,-740,,,,,,,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;产品型号},,714.588,-676.577,,,,,,,,,,16,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;产品型号},,713.66,-574.51,,,,,,,,,,16,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;数量},,462.074,-708.79,,,,,,,,,,14,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,,{\T1.1;产品型号},,714.411,-625.911,,,,,,,,,,16,0,,,,
